Timestamp,Load Index,StackTempMbus,StackO2Mbus,SteamPrMbus,SteamTempMbus,Gas Pressure (After PRV),Gas Flow,Fuel flow %,Air flow %,TStack_minus_TSteam
2026-01-30 3:30:00,63,204.2,3.8,8.6,178.1,156.9250336,74.21081543,22.10000038,19.20000076,26.1
2026-01-30 3:31:00,61,202.1,4.1,8.6,178.2,157.3422852,69.61697388,21.70000076,18.60000038,23.9
2026-01-30 3:32:00,,201.1,4.2,8.6,178.1,,68.24423981,,,23
2026-01-30 3:33:00,79,200.7,3.4,8.3,176.6,152.085022,105.9588242,27.39999962,29.60000038,24.1
2026-01-30 3:34:00,77,202.5,2.9,8.4,177.3,154.7732697,99.56249237,26.60000038,27.30000114,25.2
2026-01-30 3:35:00,67,203.9,3.2,8.5,177.7,157.2886353,86.29416656,23.39999962,21.60000038,26.2
2026-01-30 3:36:00,64,203.7,3.7,8.6,178.1,155.6971588,74.63223267,22.70000076,20.10000038,25.6
2026-01-30 3:37:00,,202.8,3.9,8.6,178.2,,71.44866943,,,24.6
2026-01-30 3:38:00,62,201.3,4.1,8.6,178.2,157.670105,69.16635132,21.70000076,18.70000076,23.1
2026-01-30 3:39:00,68,200.5,4,8.4,177.3,152.8837433,83.31088257,23.80000114,23.10000038,23.2
2026-01-30 3:40:00,77,200.9,3.2,8.2,176.6,153.312912,110.2939758,26.89999962,27.80000114,24.3
2026-01-30 3:41:00,71,204.3,3.1,8.5,177.7,156.7462311,87.5667572,24.80000114,24.5,26.6
2026-01-30 3:42:00,,204.6,3.4,8.5,177.9,,80.55290985,,,26.7
2026-01-30 3:43:00,64,203.7,3.8,8.6,178.1,156.3945465,74.46533203,22.60000038,20.10000038,25.6
2026-01-30 3:44:00,63,202.8,3.9,8.6,178.1,156.4124298,72.98829651,22.30000114,19.70000076,24.7
2026-01-30 3:45:00,62,202,4,8.6,178.1,156.3587799,71.58635712,22,19.30000114,23.9
2026-01-30 3:46:00,77,200.8,3.5,8.3,176.7,153.3844299,101.498497,26.70000076,28.20000076,24.1
2026-01-30 3:47:00,,202.4,2.7,8.3,176.8,,113.2230225,,,25.6
2026-01-30 3:48:00,72,205.1,3,8.5,177.6,155.6852264,89.16480255,25,24.60000038,27.5
2026-01-30 3:49:00,68,205.4,3.4,8.5,177.9,156.2157288,81.71701813,23.80000114,22.5,27.5
2026-01-30 3:50:00,64,204.9,3.6,8.6,178,156.4302979,77.18992615,22.5,20.10000038,26.9
2026-01-30 3:51:00,63,203.1,3.9,8.6,178.1,156.9727173,72.53767395,22.20000076,19.39999962,25
2026-01-30 3:52:00,,202.1,4,8.5,177.6,,75.99661255,,,24.5
2026-01-30 3:53:00,83,202.7,2.9,8.3,176.9,152.8420105,112.985199,28.70000076,31.60000038,25.8
2026-01-30 3:54:00,75,204.5,2.9,8.4,177.5,156.6925812,96.24541473,26.20000076,26.80000114,27
2026-01-30 3:55:00,67,205.4,3.2,8.5,177.8,157.2409515,85.86857605,23.5,21.70000076,27.6
2026-01-30 3:56:00,65,204.6,3.7,8.6,178.1,156.4183807,75.75878143,22.89999962,20.5,26.5
2026-01-30 3:57:00,,203.7,3.9,8.6,178.2,,72.82556915,,,25.5
2026-01-30 3:58:00,62,202.2,4.1,8.6,178.2,156.3289795,70.95214844,21.89999962,18.89999962,24
2026-01-30 3:59:00,69,201.3,3.9,8.4,177.3,153.4857636,83.77819061,24.10000038,23.70000076,24
2026-01-30 4:00:00,77,201.7,3.1,8.3,176.7,154.3500519,112.1215057,26.89999962,27.89999962,25
2026-01-30 4:01:00,71,204.9,3.1,8.5,177.7,155.6375427,87.93392944,24.89999962,24.39999962,27.2
2026-01-30 4:02:00,,205.1,3.4,8.6,178,,80.58628845,,,27.1
2026-01-30 4:03:00,64,204,3.8,8.6,178.2,155.8342438,73.00498199,22.39999962,19.70000076,25.8
2026-01-30 4:04:00,63,203.1,4,8.6,178.2,157.0800171,71.0272522,22.10000038,18.89999962,24.9
2026-01-30 4:05:00,67,202,4.1,8.6,178.2,154.8507538,69.75883484,23.60000038,22.80000114,23.8
2026-01-30 4:06:00,80,201.4,3.2,8.3,176.7,152.6155243,109.1799469,27.80000114,30.20000076,24.7
2026-01-30 4:07:00,,203.1,2.9,8.4,177.4,,97.37613678,,,25.7
2026-01-30 4:08:00,,,,,,,,,,
2026-01-30 4:09:00,67,204.3,3.5,8.6,178,156.5375977,80.23162842,23.5,21.70000076,26.3
2026-01-30 4:10:00,64,203.9,3.7,8.6,178.1,157.7058716,74.75322723,22.60000038,20.30000114,25.8
2026-01-30 4:11:00,61,203.1,3.9,8.6,178.2,156.7462311,71.79497528,21.70000076,18.60000038,24.9
2026-01-30 4:12:00,61,201.1,4.3,8.6,178.3,156.5495148,67.50989532,21.39999962,18.30000114,22.8
2026-01-30 4:13:00,,200.3,4,8.4,177.2,,84.59598541,,,23.1
2026-01-30 4:14:00,77,201.9,3,8.4,177.3,153.5692139,99.8795929,26.80000114,27.60000038,24.6
2026-01-30 4:15:00,71,203.3,3.2,8.5,177.7,156.9250336,86.85744476,24.80000114,24.10000038,25.6
